ElectionID,ElectionMasterID,ElectionDate
20240501,EM1001,01/05/2024
20240503,EM1002,03/05/2024
20240505,EM1003,05/05/2024
20240507,EM1004,07/05/2024
20240509,EM1005,09/05/2024
20240511,EM1006,11/05/2024
20240513,EM1007,13/05/2024
20240515,EM1008,15/05/2024
20240517,EM1009,17/05/2024
20240519,EM1010,19/05/2024
20240521,EM1011,21/05/2024
20240523,EM1012,23/05/2024
20240525,EM1013,25/05/2024
20240527,EM1014,27/05/2024
20240529,EM1015,29/05/2024
20240601,EM1016,01/06/2024
20240603,EM1017,03/06/2024
20240605,EM1018,05/06/2024
20240607,EM1019,07/06/2024
20240609,EM1020,09/06/2024
20220501,EM1021,01/05/2022
20220503,EM1022,03/05/2022
20220505,EM1023,05/05/2022
20220507,EM1024,07/05/2022
20220509,EM1025,09/05/2022
20220511,EM1026,11/05/2022
20220513,EM1027,13/05/2022
20220515,EM1028,15/05/2022
20220517,EM1029,17/05/2022
20220519,EM1030,19/05/2022
20220521,EM1031,21/05/2022
20220523,EM1032,23/05/2022
20220525,EM1033,25/05/2022
20220527,EM1034,27/05/2022
20220529,EM1035,29/05/2022
20220601,EM1036,01/06/2022
20220603,EM1037,03/06/2022
20220605,EM1038,05/06/2022
20220607,EM1039,07/06/2022
20220609,EM1040,09/06/2022
20190501,EM1041,01/05/2019
20190503,EM1042,03/05/2019
20190505,EM1043,05/05/2019
20190507,EM1044,07/05/2019
20190509,EM1045,09/05/2019
20190511,EM1046,11/05/2019
20190513,EM1047,13/05/2019
20190515,EM1048,15/05/2019
20190518,EM1049,18/05/2019
20190519,EM1050,19/05/2019
20190521,EM1051,21/05/2019
20190523,EM1052,23/05/2019
20190525,EM1053,25/05/2019
20190527,EM1054,27/05/2019
20190529,EM1055,29/05/2019
20190601,EM1056,01/06/2019
20190603,EM1057,03/06/2019
20190605,EM1058,05/06/2019
20190607,EM1059,07/06/2019
20190609,EM1060,09/06/2019
20160501,EM1061,01/05/2016
20160503,EM1062,03/05/2016
20160505,EM1063,05/05/2016
20160507,EM1064,07/05/2016
20160509,EM1065,09/05/2016
20160511,EM1066,11/05/2016
20160513,EM1067,13/05/2016
20160515,EM1068,15/05/2016
20160517,EM1069,17/05/2016
20160519,EM1070,19/05/2016
20160521,EM1071,21/05/2016
20160523,EM1072,23/05/2016
20160525,EM1073,25/05/2016
20160527,EM1074,27/05/2016
20160529,EM1075,29/05/2016
20160601,EM1076,01/06/2016
20160603,EM1077,03/06/2016
20160605,EM1078,05/06/2016
20160607,EM1079,07/06/2016
20160609,EM1080,09/06/2016
20130501,EM1081,01/05/2013
20130503,EM1082,03/05/2013
20130505,EM1083,05/05/2013
20130507,EM1084,07/05/2013
20130509,EM1085,09/05/2013
20130511,EM1086,11/05/2013
20130513,EM1087,13/05/2013
20130515,EM1088,15/05/2013
20130517,EM1089,17/05/2013
20130519,EM1090,19/05/2013
20130521,EM1091,21/05/2013
20130523,EM1092,23/05/2013
20130525,EM1093,25/05/2013
20130527,EM1094,27/05/2013
20130529,EM1095,29/05/2013
20130601,EM1096,01/06/2013
20130603,EM1097,03/06/2013
20130605,EM1098,05/06/2013
20130607,EM1099,07/06/2013
20130609,EM1100,09/06/2013
20100501,EM1101,01/05/2010
20100503,EM1102,03/05/2010
20100505,EM1103,05/05/2010
20100507,EM1104,07/05/2010
20100509,EM1105,09/05/2010
20100511,EM1106,11/05/2010
20100513,EM1107,13/05/2010
20100515,EM1108,15/05/2010
20100517,EM1109,17/05/2010
20100519,EM1110,19/05/2010
20100521,EM1111,21/05/2010
20100523,EM1112,23/05/2010
20100525,EM1113,25/05/2010
20100527,EM1114,27/05/2010
20100529,EM1115,29/05/2010
20100601,EM1116,01/06/2010
20100603,EM1117,03/06/2010
20100605,EM1118,05/06/2010
20100607,EM1119,07/06/2010
20100609,EM1120,09/06/2010
